batch,order_index,order,mean_err_D1,std_err_D1,passes_D1,mean_err_D2,std_err_D2,passes_D2,mean_err_D3,std_err_D3,passes_D3,mean_err_D4,std_err_D4,passes_D4,mean_err_D5,std_err_D5,passes_D5,tolerance
1,0,natural,8.556280678861938e-06,0.0002099039333618713,False,6.439293542825908e-15,6.17284001691587e-14,True,6.439293542825908e-15,1.5144605500228003e-08,True,8.556280678861938e-06,2.053615503205819e-06,True,6.439293542825908e-15,1.6653345369377348e-14,True,1e-05
8,0,natural,1.2878543599326164e-06,4.163600758416708e-06,True,2.4424906541753444e-15,3.338995746560158e-14,True,2.4424906541753444e-15,1.5144587278692612e-08,True,1.2878543599326164e-06,1.076880524197854e-06,True,2.4424906541753444e-15,1.63202784619898e-14,True,1e-05
32,0,natural,5.315601078192955e-07,5.2688355866442604e-06,True,1.1102230246251565e-15,1.9262369477246466e-14,True,1.1102230246251565e-15,1.5144587278692612e-08,True,5.315601078192955e-07,2.3567383755640492e-07,True,1.1102230246251565e-15,1.6986412276764895e-14,True,1e-05
128,0,natural,3.308396998580321e-07,3.0932660523425026e-06,True,8.881784197001252e-16,1.765254609153999e-14,True,8.881784197001252e-16,1.5144587278692612e-08,True,3.308396998580321e-07,6.833032999142841e-08,True,8.881784197001252e-16,1.7263968032921184e-14,True,1e-05
1,1,episode_cluster_seed_0,1.1473093333269624e-05,0.00019954272334207768,False,5.440092820663267e-15,6.410150188429498e-14,True,5.440092820663267e-15,1.514458020102083e-08,True,1.1473093333269624e-05,1.9083412857723303e-06,False,5.440092820663267e-15,1.6819878823071122e-14,True,1e-05
8,1,episode_cluster_seed_0,3.938450399809668e-06,4.9098051029108913e-05,False,1.9984014443252818e-15,1.759703494030873e-14,True,1.9984014443252818e-15,1.5144583226378572e-08,True,3.938450399809668e-06,8.615226076980065e-07,True,1.9984014443252818e-15,1.6986412276764895e-14,True,1e-05
32,1,episode_cluster_seed_0,1.1966367401416989e-06,1.2672162490748318e-05,False,1.3322676295501878e-15,1.6708856520608606e-14,True,1.3322676295501878e-15,1.514460044871324e-08,True,1.1966367401416989e-06,2.2819204864577003e-07,True,1.3322676295501878e-15,1.7319479184152442e-14,True,1e-05
128,1,episode_cluster_seed_0,5.046161128952065e-07,3.5328489982056066e-06,True,1.1102230246251565e-15,1.7041923427996153e-14,True,1.1102230246251565e-15,1.514458829177112e-08,True,5.046161128952065e-07,7.918043670729347e-08,True,1.1102230246251565e-15,1.7208456881689926e-14,True,1e-05
1,2,episode_cluster_seed_1,1.362046211716983e-05,4.6922481494807156e-05,False,4.884981308350689e-15,5.2610693579424606e-14,True,4.884981308350689e-15,1.514460146179175e-08,True,1.362046211716983e-05,4.688590206719523e-06,False,4.884981308350689e-15,1.6930901125533637e-14,True,1e-05
8,2,episode_cluster_seed_1,2.5079389252002926e-06,2.571812911596194e-05,False,4.107825191113079e-15,1.9539925233402755e-14,True,4.107825191113079e-15,1.514459437024218e-08,True,2.5079389252002926e-06,7.297703845526859e-07,True,4.107825191113079e-15,1.6764367671839864e-14,True,1e-05
32,2,episode_cluster_seed_1,1.4350553192432614e-06,1.2128270107172878e-05,False,1.3322676295501878e-15,1.8707257964933888e-14,True,1.3322676295501878e-15,1.514459538332069e-08,True,1.4350553192432614e-06,2.816663265958752e-07,True,1.3322676295501878e-15,1.7319479184152442e-14,True,1e-05
128,2,episode_cluster_seed_1,2.7646782596590924e-07,1.8017653998364525e-06,True,1.3322676295501878e-15,1.8041124150158794e-14,True,1.3322676295501878e-15,1.514459031792814e-08,True,2.7646782596590924e-07,7.305006988200802e-08,True,1.3322676295501878e-15,1.709743457922741e-14,True,1e-05
1,3,episode_cluster_seed_2,9.81321099002841e-06,6.884463982019529e-05,False,1.0658141036401503e-14,1.3652967645327863e-13,True,1.0658141036401503e-14,1.5144629800234455e-08,True,9.81321099002841e-06,2.5428229948054604e-06,True,1.0658141036401503e-14,1.7319479184152442e-14,True,1e-05
8,3,episode_cluster_seed_2,1.0181606563408607e-06,1.4507555526829807e-05,False,4.884981308350689e-15,6.179778910819778e-14,True,4.884981308350689e-15,1.5144527548693887e-08,True,1.0181606563408607e-06,8.980665898716822e-07,True,4.884981308350689e-15,1.7486012637846216e-14,True,1e-05
32,3,episode_cluster_seed_2,6.913232205585373e-07,6.689346271418484e-06,True,1.7763568394002505e-15,1.992850329202156e-14,True,1.7763568394002505e-15,1.514460348794877e-08,True,6.913232205585373e-07,2.424154973423853e-07,True,1.7763568394002505e-15,1.687538997430238e-14,True,1e-05
128,3,episode_cluster_seed_2,6.884675685103758e-07,5.266286686761434e-06,True,4.440892098500626e-16,1.8263168755083825e-14,True,4.440892098500626e-16,1.514459031792814e-08,True,6.884675685103758e-07,9.863470332160951e-08,True,4.440892098500626e-16,1.7041923427996153e-14,True,1e-05
1,4,episode_cluster_seed_3,1.3622987225403449e-05,0.00015083572908010379,False,1.176836406102666e-14,1.4906131884373508e-13,True,1.176836406102666e-14,1.5144616644091613e-08,True,1.3622987225403449e-05,2.1653430038459653e-06,False,1.176836406102666e-14,1.7708057242771247e-14,True,1e-05
8,4,episode_cluster_seed_3,1.9341368016068117e-06,2.2211454554693644e-05,False,1.7763568394002505e-15,3.007316617953393e-14,True,1.7763568394002505e-15,1.5144604487149493e-08,True,1.9341368016068117e-06,8.250576944146548e-07,True,1.7763568394002505e-15,1.6819878823071122e-14,True,1e-05
32,4,episode_cluster_seed_3,1.4037233058150633e-06,1.4609314755303915e-05,False,1.5543122344752192e-15,1.8263168755083825e-14,True,1.5543122344752192e-15,1.514455993945063e-08,True,1.4037233058150633e-06,2.3314300975907365e-07,True,1.5543122344752192e-15,1.7263968032921184e-14,True,1e-05
