source_prefix,episode_rows,identity_discrepant,identity_discrepancy_percent,task_discrepant,both_discrepant,identity_only,task_only,neither_discrepant,local_summary_matches,local_global_coincident_rows
TRI,19825,19825,100.0,18111,18111,1714,0,0,19825,0
RAIL,8100,8100,100.0,5431,5431,2669,0,0,8100,0
IPRL,5713,5713,100.0,4421,4421,1292,0,0,5713,0
CLVR,5090,5090,100.0,4702,4702,388,0,0,5090,0
REAL,5008,5008,100.0,3511,3511,1497,0,0,5008,0
IRIS,3362,3362,100.0,3171,3171,191,0,0,3362,0
ILIAD,3240,3240,100.0,2073,2073,1167,0,0,3240,0
WEIRD,2989,2989,100.0,2384,2384,605,0,0,2989,0
PennPAL,2894,2894,100.0,2794,2794,100,0,0,2894,0
RPL,2517,2517,100.0,1956,1956,561,0,0,2517,0
RAD,1467,1467,100.0,1002,1002,465,0,0,1467,0
GuptaLab,1297,1297,100.0,1297,1297,0,0,0,1297,0
AUTOLab,10405,0,0.0,0,0,0,0,10405,10405,10405
