split,source_prefix,episode_rows,identity_discrepant,identity_discrepancy_percent,task_discrepant,both_discrepant,identity_only,task_only,neither_discrepant,local_summary_matches,local_global_coincident_rows,episode_offset_min,episode_offset_max,frame_offset_min,frame_offset_max
success,AUTOLab,7016,0,0.0,0,0,0,0,7016,7016,7016,0,0,0,0
success,CLVR,4702,4702,100.0,4702,4702,0,0,0,4702,0,7016,7016,2702448,2702448
success,GuptaLab,1115,1115,100.0,1115,1115,0,0,0,1115,0,11718,11718,3584952,3584952
success,ILIAD,2071,2071,100.0,2071,2071,0,0,0,2071,0,12833,12833,3761837,3761837
success,IPRL,4418,4418,100.0,4418,4418,0,0,0,4418,0,14904,14904,4409939,4409939
success,IRIS,3171,3171,100.0,3171,3171,0,0,0,3171,0,19322,19322,5926039,5926039
success,PennPAL,2794,2794,100.0,2794,2794,0,0,0,2794,0,22493,22493,6734966,6734966
success,RAD,999,999,100.0,999,999,0,0,0,999,0,25287,25287,7525540,7525540
success,RAIL,5414,5414,100.0,5414,5414,0,0,0,5414,0,26286,26286,8096586,8096586
success,REAL,3503,3503,100.0,3503,3503,0,0,0,3503,0,31700,31700,9101810,9101810
success,RPL,1950,1950,100.0,1950,1950,0,0,0,1950,0,35203,35203,10015194,10015194
success,TRI,18102,18102,100.0,18102,18102,0,0,0,18102,0,37153,37153,10966085,10966085
success,WEIRD,2384,2384,100.0,2384,2384,0,0,0,2384,0,55255,55255,16238602,16238602
failure,AUTOLab,3389,0,0.0,0,0,0,0,3389,3389,3389,0,0,0,0
failure,CLVR,388,388,100.0,0,0,388,0,0,388,0,3389,3389,850849,850849
failure,GuptaLab,182,182,100.0,182,182,0,0,0,182,0,3777,3777,927230,927230
failure,ILIAD,1169,1169,100.0,2,2,1167,0,0,1169,0,3959,3959,960474,960474
failure,IPRL,1295,1295,100.0,3,3,1292,0,0,1295,0,5128,5128,1344077,1344077
failure,IRIS,191,191,100.0,0,0,191,0,0,191,0,6423,6423,1687764,1687764
failure,PennPAL,100,100,100.0,0,0,100,0,0,100,0,6614,6614,1751135,1751135
failure,RAD,468,468,100.0,3,3,465,0,0,468,0,6714,6714,1772611,1772611
failure,RAIL,2686,2686,100.0,17,17,2669,0,0,2686,0,7182,7182,1961365,1961365
failure,REAL,1505,1505,100.0,8,8,1497,0,0,1505,0,9868,9868,2333888,2333888
failure,RPL,567,567,100.0,6,6,561,0,0,567,0,11373,11373,2664749,2664749
failure,TRI,1723,1723,100.0,9,9,1714,0,0,1723,0,11940,11940,2819480,2819480
failure,WEIRD,605,605,100.0,0,0,605,0,0,605,0,13663,13663,3368429,3368429
